"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-12-01","2023","12","0.2838031631","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-12-02","2023","12","0.000399394","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-12-01","2023","12","0.0103450283","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-12-02","2023","12","0.0070804677","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-12-02","2023","12","0.0147840594","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-12-01","2023","12","0.0856537737","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-12-01","2023","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-12-02","2023","12","NA","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-12-01","2023","12","0.501950742","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-12-02","2023","12","0.0382922945","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-12-01","2023","12","0.3578618263","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-12-02","2023","12","0.5144167395","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-12-02","2023","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-12-01","2023","12","0.0011767244","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-12-02","2023","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-12-01","2023","12","0.0168943955","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-12-02","2023","12","7.7008017587","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-12-01","2023","12","8.3358194165","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-12-02","2023","12","2.4160542757","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-12-01","2023","12","1.3122098027","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-12-02","2023","12","0.3147933284","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-12-01","2023","12","0.0488925915","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-12-01","2023","12","0.0411947075","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-12-02","2023","12","0.4470900302","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2023-12-01","2023","12","1.2545319421","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2023-12-02","2023","12","2.5772112378","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2023-12-01","2023","12","0.017738937","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2023-12-02","2023","12","0.3105035661","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2023-12-01","2023","12","0.0003282663","NRSC VIC MODEL"
